id	context	en	fr	de	es	ja	pt	ru	zh
window_mode_fullscreen	a label to describe the window mode when the game is displayed filling the screen	Fullscreen	Plein écran	Fenstermodus	Pantalla completa	全画面表示	Tela cheia	Подробный	全屏
tooltip_detail_off	a label to describe not displaying component tooltips on the HUD	Off	Désactivé	Vollbildmodus	Desactivado	オフ	Desligado	Небольшой процент людей может испытывать припадки при воздействии определенных визуальных образов, включая световые узоры или мигающие огни, даже без истории эпилепсии или припадков.	关闭
tooltip_detail_detailed	a label to describe displaying component tooltips on the HUD	Detailed	Détaillé	Aus	Detallado	詳細	Detalhado	НЕМЕДЛЕННО прекратите игру и обратитесь к врачу, если у вас возникли какие-либо симптомы.	详细
photosensitivity_warning_information	an explanation of photosensitivity for the user	A small percentage of individuals may experience seizures when exposed, to certain visual images, including light patterns or flashing lights, even with no history of epilepsy or seizures.	Un faible pourcentage de personnes peuvent être sujettes à des crises d'épilepsie lorsqu'elles sont exposées à certaines images, notamment des motifs lumineux ou des lumières clignotantes, même sans antécédents d'épilepsie ou de crises d'épilepsie.	Detailliert	Un pequeño porcentaje de personas puede experimentar convulsiones al exponerse a ciertas imágenes visuales, como patrones de luz o luces intermitentes, incluso sin antecedentes de epilepsia o convulsiones.	てんかんや発作の履歴がなくても、光のパターンや点滅する光などの特定の視覚画像にさらされると、ごく一部の人が発作を起こすことがあります。	Uma pequena porcentagem de indivíduos pode sofrer convulsões quando expostos a certas imagens visuais, incluindo padrões de luz ou luzes piscantes, mesmo sem histórico de epilepsia ou convulsões.	ПОДТВЕРЖДЕНИЕ ВЫХОДА	一小部分人在接触某些视觉图像（包括光图案或闪光）时可能会出现癫痫发作，即使没有癫痫或癫痫病史。
photosensitivity_warning_advice	advice to players about photosensitivty if they experience symptoms	IMMEDIATELY stop playing and consult a doctor if you experience any symptoms.	Arrêtez IMMÉDIATEMENT de jouer et consultez un médecin si vous ressentez des symptômes.	Ein kleiner Prozentsatz von Personen kann bei bestimmten visuellen Eindrücken, einschließlich Lichtmustern oder blinkenden Lichtern, Anfälle erleiden, auch wenn sie keine Vorgeschichte von Epilepsie oder Anfällen haben.	Deja de jugar INMEDIATAMENTE y consulta a un médico si experimentas algún síntoma.	症状が現れた場合は、直ちにプレイを中止し、医師に相談してください。	PARE de jogar IMEDIATAMENTE e consulte um médico se sentir algum sintoma.	Вы уверены, что хотите выйти из Not Stormworks 2?	如果您出现任何症状，请立即停止游戏并咨询医生。
exit_game_title	a title summarising the act of confirming that the user wishes to close the application	EXIT CONFIRMATION	CONFIRMATION DE QUITTER	Beenden Sie das Spiel SOFORT und suchen Sie einen Arzt auf, wenn Symptome auftreten.	CONFIRMACIÓN DE SALIDA	終了の確認	CONFIRMAÇÃO DE SAÍDA	УДАЛИТЬ СОХРАНЕНИЕ	退出确认
exit_game_are_you_sure_you_want_to_exit	a yes-no question asking the user if they want to close the application	Are you sure you want to exit Anymaker?	Êtes-vous sûr de vouloir quitter Stormworks 2 ?	BESTÄTIGUNG ZUM BEENDEN	¿Seguro que quieres salir de Not Stormworks 2?	Not Stormworks 2 を終了してもよろしいですか?	Tem certeza de que deseja sair do Not Stormworks 2?	Вы уверены, что хотите удалить ###?	您确定要退出 Not Stormworks 2 吗？
delete_save_title	a title summarising the act of deleting a save file	DELETE SAVE	SUPPRIMER LA SAUVEGARDE	Möchten Sie „Not Stormworks 2“ wirklich beenden?	ELIMINAR GUARDAR	セーブを削除	EXCLUIR SALVAR	ЗАГРУЗИТЬ СОХРАНЕНИЕ	删除保存
delete_save_are_you_sure_you_want_to_delete	a yes-no question asking the user if they want to delete a save file. the first gap (###) is the name of the save game	Are you sure you want to delete ###?	Êtes-vous sûr de vouloir supprimer ### ?	LÖSCHEN SPEICHERN	¿Seguro que quieres eliminar ###?	### を削除してもよろしいですか?	Tem certeza de que deseja excluir ###?	Вы уверены, что хотите загрузить ###?	您确定要删除###吗？
load_save_title	a title summarising the act of loading a save file	LOAD SAVE	CHARGER LA SAUVEGARDE	Möchten Sie ### wirklich löschen?	CARGAR GUARDADO	セーブをロード	CARREGAR SALVAR	МЕНЮ ИГРЫ	加载保存
load_save_are_you_sure_you_want_to_load	a yes-no question asking the user if they want to load into a save game. the first gap (###) is the name of the save game	Are you sure you want to load ###?	Êtes-vous sûr de vouloir charger ### ?	SPIELSTAND LADEN	¿Seguro que quieres cargar ###?	### をロードしてもよろしいですか?	Tem certeza de que deseja carregar ###?	СОЗДАТЬ НОВОЕ СОХРАНЕНИЕ	您确定要加载###吗？
unsubscribe_title	a title summarising the act of unsubscribing from a Steam Workshop iten	UNSUBSCRIBE						ОТПИСАТЬСЯ	
unsubscribe_are_you_sure_you_want_to_delete	a yes-no question asking the user if they want to unsubscribe from a Steam Workshop item. the first gap (###) is the name of the item	Are you sure you want to unsubscribe from ###?						Вы уверены, что хотите отписаться от ###?	
pause_menu_title	the pause game menu title. this menu allows the user to return to game, exit to main menu, modify options etc.	GAME MENU	MENU DU JEU	Möchten Sie ### wirklich laden?	MENÚ DEL JUEGO	ゲーム メニュー	MENU DO JOGO	Введите имя...	游戏菜单
create_save_title	a title summarising the act of creating a new save file	CREATE NEW SAVE	CRÉER UNE NOUVELLE SAUVEGARDE	SPIELMENÜ	CREAR NUEVO GUARDADO	セーブを新規作成	CRIAR NOVO SALVAR	Имя сохранения слишком короткое.	创建新保存
create_save_name_hint	a prompt for the textbox where the user enters their save game's name	Enter Name...	Saisissez un nom...	NEUE SPIELSTAND ERSTELLEN	Introducir nombre...	名前を入力...	Digite o nome...	Имя сохранения должно быть уникальным.	输入名称...
create_save_name_too_short	a prompt explaining that the save game name entered is too short	Save name too short.	Nom de la sauvegarde trop court.	Name eingeben...	El nombre del guardado es demasiado corto.	セーブ名が短すぎます。	O nome do salvamento é muito curto.	ПЕРЕЗАПИСАТЬ СОХРАНЕНИЕ	保存名称太短。
overwrite_save_title	a title summarising the act of overwriting an existing save file with new save game data	OVERWRITE SAVE	ÉCRASER LA SAUVEGARDE	Spielstandname muss eindeutig sein.	SOBRESCRIBIR GUARDADO	セーブを上書き	SOBRESCREVER SALVAR	ВНИМАНИЕ: вы не сможете вернуть перезаписанные данные!	覆盖保存
overwrite_save_are_you_sure_you_want_to_overwrite	a yes-no question asking the user if they want to overwrite a save file. the first gap (###) is the name of the save file	Are you sure you want to overwrite ###?	Êtes-vous sûr de vouloir écraser ### ?	SPIELSTAND ÜBERSCHREIBEN	¿Seguro que quieres sobrescribir ###?	### を上書きしてもよろしいですか?	Tem certeza de que deseja sobrescrever ###?	ОТКРЫТЬ ДЛЯ МНОГОПОЛЬЗОВАТЕЛЬСКОГО РЕЖИМА	您确定要覆盖###吗？
overwrite_save_warning_you_wont_be_able_to_get_your_overwritten_data_back	a prompt explaining that overwriting a save with new data will make the data currently held in the save irrecoverable	WARNING: You won't be able to get your overwritten data back!	ATTENTION : Vous ne pourrez pas récupérer les données écrasées !	Möchten Sie ### wirklich überschreiben?	ADVERTENCIA: ¡No podrás recuperar los datos sobrescritos!	警告: 上書きしたデータは元に戻せません!	AVISO: Você não poderá obter seus dados sobrescritos de volta!	МАКСИМУМ ИГРОКОВ	警告：您将无法恢复覆盖的数据！
pending_save_title	a title explaining that the game is currently saving	SAVING GAME...						СОХРАНЕНИЕ ИГРЫ...	
host_open_to_friends	a label for a setting which enables rich presence connections to the game	OPEN TO FRIENDS						ОТКРЫТО ДЛЯ ДРУЗЕЙ	
host_invite_code	a label for the invite code which clients can join the game with	INVITE CODE						КОД ПРИГЛАШЕНИЯ	
host_invite_code_copy	a label for a button which copies the invite code to the clipboard	Copy						Копировать	
host_invite_code_regenerate	a label for a button which regenerates the invite code	Regenerate						Сгенерировать заново	
host_max_players	a label for a setting which limits the maximum number of players that can be connected to the server simultaneously	MAX PLAYERS	MAX JOUEURS	MEHRSPIELERMODUS	MÁXIMO DE JUGADORES	最大プレイヤー数	MÁXIMO DE JOGADORES	Введите пароль...	最大玩家数
join_invite_code_hint	a prompt for a textbox where the user enters their invite code to join a server	Enter Invite Code...						Введите код приглашения...	
join_invite_code_paste	a label for a button which pastes the invite code from the clipboard	Paste						Вставить	
game_over_title	a title for the game over screen telling the player that they have died and need to load a save game or quit to menu	GAME OVER						ИГРА ОКОНЧЕНА	
respawn_title	a title for the respawn screen which tells the player how long before they respawn after dying	RESPAWNING						ВОЗРОЖДЕНИЕ	
exit_to_main_menu_title	a title summarising the act of leaving the game and returning to the main menu	EXIT CONFIRMATION	CONFIRMATION DE SORTIE	Passwort eingeben...	CONFIRMACIÓN DE SALIDA	終了の確認	CONFIRMAÇÃO DE SAIR	Любой несохраненный прогресс будет утерян	退出确认
exit_to_main_menu_are_you_sure_you_want_to_exit_to_main_menu	a yes-no question asking if the user wants to return to the main menu	Are you sure you want to exit to the main menu?	Êtes-vous sûr de vouloir revenir au menu principal ?	BEENDEN-BESTÄTIGUNG	¿Seguro que quieres salir al menú principal?	メイン メニューに終了してもよろしいですか?	Tem certeza de que deseja sair para o menu principal?	СВОЙСТВА КОМПОНЕНТА	您确定要退出到主菜单吗？
any_unsaved_progress_will_be_lost	a prompt explaining to the user that if they go through with this action, any progress they have made in the game since last saving will not be saved	Any unsaved progress will be lost	Toute progression non enregistrée sera perdue.	Möchten Sie wirklich zum Hauptmenü zurückkehren?	Se perderá cualquier progreso no guardado.	保存されていない進行状況は失われます	Qualquer progresso não salvo será perdido	нет свойств	任何未保存的进度都将丢失
properties_title	a heading for the screen which displays all of the modifiable properties of a component to a player	COMPONENT PROPERTIES	PROPRIÉTÉS DES COMPOSANTS	Nicht gespeicherte Fortschritte gehen verloren.	PROPIEDADES DEL COMPONENTE	コンポーネント プロパティ	PROPRIEDADES DO COMPONENTE	СВОЙСТВА КОМПОНЕНТА	组件属性
properties_no_properties	a prompt explaining that the inspected component has no modifiable properties	no properties	Aucune propriété	KOMPONENTENEIGENSCHAFTEN	Sin propiedades	プロパティなし	nenhuma propriedade	нет свойств	无属性
tooltip_occupied	a tooltip label showing if a seat has a player sitting in it or not	OCCUPIED	OCCUPÉ	Keine Eigenschaften	OCUPADO	占有	OCUPADO	ЗАНЯТО	已占用
tooltip_steering	a tooltip label showing the angle which is a wheel is rotated to	STEERING	DIRECTION	BESETZT	DIRECCIÓN	ステアリング	DIREÇÃO	РУЛЕВОЕ	转向
tooltip_force	a tooltip label showing the physical quantity of force (measured in Newtons)	FORCE	FORCE	LENKKRAFT	FUERZA	力	FORÇA	УСИЛИЕ	力
tooltip_speed_rotations_per_second	a tooltip label showing the rotations per second of a component (measured in Hertz)	SPEED	VITESSE	GESCHWINDIGKEIT	VELOCIDAD	速度	VELOCIDADE	СКОРОСТЬ	速度
tooltip_brake	a tooltip label showing the percentage of braking applied to the wheels with 0% being no application and 100% being fully applied	BRAKE	FREIN	BREMSWERT	FRENO	ブレーキ	FREIO	ТОРМОЗНОЕ	制动
tooltip_value	a tooltip label showing a numeric value	VALUE	VALEUR	OFFSET	VALOR	値	VALOR	ЗНАЧЕНИЕ	值
tooltip_value_named	a tooltip label showing a numeric value. the first gap (###) is the identifier of the value	VALUE ###						ЗНАЧЕНИЕ ###	
tooltip_offset	a tooltip label showing a numeric value which will be added to another value	OFFSET	DÉCALAGE	SKALA	DESPLAZAMIENTO	オフセット	OFFSET	СМЕЩЕНИЕ	偏移
tooltip_scale	a tooltip label showing a numeric value which will multiply another value	SCALE	ÉCHELLE	ZUSTAND	ESCALA	スケール	ESCALA	МАСШТАБ	比例
tooltip_condition	a tooltip label showing the working state of a component	CONDITION	ÉTAT	DURCHFLUSS	CONDICIÓN	状態	CONDIÇÃO	СОСТОЯНИЕ	条件
tooltip_mass	a tooltip label showing the mass of an object	MASS						МАССА	
tooltip_flow_fluid	a tooltip label showing the flow of a liquid or gas inside a component (measured in Liters per second)	FLOW	DÉBIT	INHALT	FLUJO	フロー	FLUXO	РАСХОД	流量
tooltip_content_fluid	a tooltip label showing the volume of a liquid or gas inside of a component (measured in Liters)	CONTENT	CONTENU	DROSSELKLAPPEN	CONTENIDO	コンテンツ	CONTEÚDO	СОДЕРЖИМОЕ	内容
tooltip_content_fluid_identifier	a tooltip label showing the volume of a liquid or gas inside of a component (measured in Liters). the first gap (###) is the number of the content in the component	CONTENT ###						СОДЕРЖИМОЕ ###	
tooltip_capacity_fluid	a tooltip label showing the capacity of a liquid or gas inside of a component (measured in Liters)	CAPACITY						ЁМКОСТЬ	
tooltip_throttle	a tooltip label showing the relative power supplied by the engine	THROTTLE	ACCÉLÉRATEUR	TEMPERATUR	ACELERADOR	スロットル	ACELERADOR	ДРОССЕЛЬ	油门
tooltip_temperature	a tooltip label showing the temperature of a component	TEMPERATURE	TEMPÉRATURE	LEISTUNG	TEMPERATURA	温度	TEMPERATURA	ТЕМПЕРАТУРА	温度
tooltip_temperature_identifier	a tooltip label showing the temperature of a component. the first gap (###) is the number of the part of the component	TEMPERATURE ###						ТЕМПЕРАТУРА ###	
tooltip_power	a tooltip label showing the physical quanitity of power (measured in Watts)	POWER	PUISSANCE	DRUCK	POTENCIA	電力	POTÊNCIA	МОЩНОСТЬ	功率
tooltip_pressure_fluid	a tooltip label showing the physical quantity of pressure in a liquid or gas inside a component (measured in Atmospheres)	PRESSURE	PRESSION	STATISCHER DRUCK	PRESIÓN	圧力	PRESSÃO	ДАВЛЕНИЕ	压力
tooltip_static_pressure_fluid	a tooltip label showing the the physical quantity of pressure in a liquid or gas at a single point	STATIC PRESSURE	PRESSION STATIQUE	SPEICHER	PRESIÓN ESTÁTICA	静圧	PRESSÃO ESTÁTICA	СТАТИЧЕСКОЕ ДАВЛЕНИЕ	静压
tooltip_electric_energy_store	a tooltip label showing the amount of electrical energy stored in a component (measured in Kilowatt-hours)	STORE	MÉMOIRE	VERBRAUCH	ALMACENAMIENTO	ストア	ARMAZENAR	ХРАНИЛИЩЕ	存储
tooltip_electric_power_consumption	a tooltip label showing the rate of convertion of electrical energy to another form by a component (measured in Watts)	CONSUMPTION	CONSOMMATION	EINGABE	CONSUMO	消費量	CONSUMO	РАСХОД	消耗
tooltip_input_boolean	a tooltip label showing if a component is receiving an on or off signal	INPUT	ENTRÉE	WINKEL	ENTRADA	入力	ENTRADA	ВХОД	输入
tooltip_output_boolean	a tooltip label showing which direction a component is outputting	OUTPUT						ВЫХОД	
tooltip_is_covered	a tooltip label showing if a component is covered	COVERED						ЗАКРЫТО	
tooltip_is_powered	a tooltip label showing if a component is powered	POWERED						ПОД ПИТАНИЕМ	
tooltip_angle	a tooltip label showing the rotation of part of a component along one axis in relation to the rest of the component	ANGLE	ANGLE	KNOTEN ### GESCHWINDIGKEIT	ÁNGULO	角度	ÂNGULO	УГОЛ	角度
tooltip_node_speed_rotations_per_second	a tooltip label showing the rotations per second of a component at a point within a torque network. the first gap (###) is the number of the node in the component	NODE ### SPEED	NŒUD ### VITESSE	ROLLEN	NODO ### VELOCIDAD	ノード ### 速度	NÓ ### VELOCIDADE	УЗЕЛ ### СКОРОСТЬ	节点###速度
tooltip_roll_rotation_axis	a tooltip label showing rotation around the longitudinal (forward-backward) axis	ROLL	ROULIS	NEIGEN	BALANCAMIENTO	ロール	ROLL	КРЕНО	滚动
tooltip_pitch_rotation_axis	a tooltip label showing rotation around the lateral (left-right) axis	PITCH	TANGAGE	GIEREN	CABECEO	ピッチ	PITCH	ТАНГ	俯仰
tooltip_yaw_rotation_axis	a tooltip label showing rotation around the vertical (up-down) axis	YAW	LACET	GIEREN	GUIÑADA	ヨー	GUIA	РЫСКАНИЕ	偏航
tooltip_pedal_l	a tooltip label describing the left pedal of a steering wheel or flight stick	PEDAL L	PÉDALE G	PEDAL L	PEDAL IZQUIERDO	ペダル L	PEDAL L	ПЕДАЛЬ L	左踏板
tooltip_pedal_r	a tooltip label describing the right pedal of a steering wheel or flight stick	PEDAL R	PÉDALE D	PEDAL R	PEDAL DERROTO	ペダル R	PEDAL R	ПЕДАЛЬ R	右踏板
tooltip_gear	a tooltip label showing the gear that a gearbox is in e.g. Neutral, 1st, 2nd, 3rd etc.	GEAR	VITESSE	GANG	ENGRANAJE	ギア	ENGRENAGEM	ПЕРЕДАЧА	齿轮
tooltip_clutch	a tooltip label showing the percentage of the clutch being applied by the gearbox with 0% being no application and 100% being fully applied	CLUTCH	EMBRAYAGE	KUPPLUNG	EMBRAGUE	クラッチ	EMBREAGEM	СЦЕПЛЕНИЕ	离合器
tooltip_gear_ratio	a tooltip label showing the gear ratio between two nodes on a component	GEAR RATIO	RAPPORT DE DÉmultiplication	ÜBERSETZUNG	RELACIÓN DE ENGRANAJES	ギア比	RELAÇÃO DE ENGRENAGENS	ПЕРЕДАЧА	齿轮比
tooltip_air	a tooltip label showing the flow of air into a component	AIR	AIR	LUFT	AIRE	空気	AR	ВОЗДУХ	空气
tooltip_fuel	a tooltip label showing the flow of fuel into a component	FUEL	CARBURANT	KRAFTSTOFF	COMBUSTIBLE	燃料	COMBUSTÍVEL	ТОПЛИВО	燃料
tooltip_exhaust	a tooltip label showing the flow of waste gas out of a component	EXHAUST	ÉCHAPPEMENT	ABGAS	ESCAPE	排気	ESCAPE	ВЫХЛОПНАЯ	排气
tooltip_oil	a tooltip label showing the flow of oil into a component	OIL	HUILE	ÖL	ACEITE	オイル	ÓLEO	МАСЛО	油
tooltip_oil_quality	a tooltip label showing the quality of oil into a component	OIL QUALITY						КАЧЕСТВО МАСЛА	
tooltip_coolant	a tooltip label showing the flow of coolant into a component	COOLANT	LIQUIDE DE REFROIDISSEMENT	KÜHLMITTEL	REFRIGERANTE	冷却剤	REFRIGERANTE	ОХЛАЖДАЮЩАЯ ЖИДКОСТЬ	冷却液
tooltip_gearbox	a tooltip label showing the number of gearboxes connected to an engine	GEARBOX	BOÎTE DE VITESSES	GETRIEBE	CAJA DE CAMBIOS	ギアボックス	CAIXA DE ENGRENAGENS	КОРОБКА ПЕРЕДАЧ	变速箱
tooltip_accessories	a tooltip label showing the number of supplementary components connected to another component	ACCESSORIES	ACCESSOIRES	ZUBEHÖR	ACCESORIOS	アクセサリ	ACESSÓRIOS	АКСЕССУАРЫ	配件
tooltip_is_incapacitated	a tooltip label showing if an actor is incapacitated or not	INCAPACITATED						ОБЕЗДВИЖЕН	
tooltip_person	a tooltip label for character actors which don't have a peer controlling them	PERSON						ЧЕЛОВЕК	
tooltip_no_manifold	a tooltip label reporting that there is no manifolds of a particular type attached to a component when there needs to be more for the component to work	NO MANIFOLD	AUCUN COLLECTEUR	KEIN VERTEILER	SIN COLECTOR	マニホールドなし	SEM MANIFOLD	БЕЗ КОЛЛЕКТОРА	无歧管
tooltip_one_manifold	a tooltip label reporting that there is only one manifolds of a particular type attached to a component when there needs to be more for the component to work	1 MANIFOLD	1 COLLECTEUR	1 VERTEILER	1 COLECTOR	1 マニホールド	1 MANIFOLD	1 КОЛЛЕКТОР	1 歧管
tooltip_no_gearbox	a tooltip label reporting that there is no gearbox attached to a component when there needs to be more for the component to work	NO GEARBOX	AUCUNE BOÎTE DE VITESSES	KEIN GETRIEBE	SIN CAJA DE CAMBIOS	ギアボックスなし	SEM CAIXA DE ENGRENAGENS	БЕЗ КОРОБКИ ПЕРЕДАЧ	无变速箱
tooltip_no_filter	a tooltip label reporting that there is no filter (for example an oil filter or an air filter) attached to a component when there needs to be for the component to work	NO FILTER						НЕТ ФИЛЬТРА	
tooltip_trigger	a tooltip label showing the trigger state of a weapon component	TRIGGER						СПУСК	
tooltip_breech	a tooltip label showing the breech state of a weapon component	BREECH						ЗАТВОР	
tooltip_loaded	a tooltip label showing the loaded state of a weapon component	LOADED						ЗАРЯЖЕНО	
tooltip_true	a tooltip label reporting the state of a property as true	TRUE	VRAI	WAHR	VERDADERO	TRUE	VERDADEIRO	ИСТИНА	真
tooltip_false	a tooltip label reporting the state of a property as false	FALSE	FAUX	FALSCH	FALSO	FALSE	FALSO	ЛОЖЬ	假
tooltip_on	a tooltip label reporting the state of a property as on	ON	ACTIVÉ	EIN	ENCENDIDO	オン	LIGADO	ВКЛ	开
tooltip_off	a tooltip label reporting the state of a property as off	OFF	DÉSACTIVÉ	AUS	APAGADO	オフ	DESLIGADO	ВЫКЛ	关
tooltip_open	a tooltip label reporting the state of a property is open	OPEN						ОТКРЫТО	
tooltip_closed	a tooltip label reporting the state of a property is closed	CLOSED						ЗАКРЫТО	
tooltip_button	a tooltip label reporting that this is an interactive button	BUTTON						КНОПКА	
tooltip_damaged	a tooltip label reporting that this object has suffered damage	DAMAGED						ПОВРЕЖДЕНО	
tooltip_left	a tooltip label reporting that the state of a property is left	LEFT						ВЛЕВО	
tooltip_right	a tooltip label reporting that the state of a property is right	RIGHT						ВПРАВО	
tooltip_up	a tooltip label reporting that the state of a property is up	UP						ВВЕРХ	
tooltip_down	a tooltip label reporting that the state of a property is down	DOWN						ВНИЗ	
tooltip_is_disengaged	a tooltip label reporting the state of a clutch	DISENGAGED						РАЗЪЕДИНЕНО	
tooltip_is_recording	a tooltip label reporting the state of an audio input	RECORDING						ЗАПИСЬ	
tooltip_is_transmitting	a tooltip label reporting the state of an antenna	TRANSMITTING						ПЕРЕДАЧА	
tooltip_is_receiving	a tooltip label reporting the state of an antenna	RECEIVING						ПРИЁМ	
tooltip_connected	a tooltip label reporting whether a multi-part component is connected to its counterpart	CONNECTED						ПОДКЛЮЧЕНО	
tooltip_transmit_channel	a tooltip label reporting the channel a component transmits on	CHANNEL						КАНАЛ	
tooltip_electric_node	a tooltip label for an unnamed electric node	ELECTRIC NODE						ЭЛЕКТРИЧЕСКИЙ УЗЕЛ	
tooltip_liquid_node	a tooltip label for a unnamed liquid node	LIQUID NODE						ЖИДКОСТНЫЙ УЗЕЛ	
tooltip_gas_node	a tooltip label for a unnamed gas node	GAS NODE						ГАЗОВЫЙ УЗЕЛ	
tooltip_mechanical_in_node	a tooltip label for a unnamed mechanical input node	MECHANICAL INPUT NODE						МЕХАНИЧЕСКИЙ ВХОДНОЙ УЗЕЛ	
tooltip_mechanical_out_node	a tooltip label for a unnamed mechanical output node	MECHANICAL OUTPUT NODE						МЕХАНИЧЕСКИЙ ВЫХОДНОЙ УЗЕЛ	
tooltip_data_node	a tooltip label for a unnamed data node	DATA NODE						УЗЕЛ ДАННЫХ	
tooltip_belt_node	a tooltip label for a unnamed belt node	BELT NODE						УЗЕЛ РЕМНЯ	
tooltip_track_node	a tooltip label for a unnamed track node	TRACK NODE						УЗЕЛ ГУСЕНИЦЫ	
tooltip_hydraulic_base_node	a tooltip label for a unnamed hydraulic base node	HYDRAULIC BASE NODE						БАЗОВЫЙ ГИДРОУЗЕЛ	
tooltip_hydraulic_node	a tooltip label for a unnamed hydraulic node	HYDRAULIC NODE						ГИДРОУЗЕЛ	
tooltip_throttle_node	a tooltip label for a mechanical node which controls throttle	THROTTLE NODE						УЗЕЛ ГАЗА	
tooltip_trigger_node	a tooltip label for a mechanical node which controls the trigger of a mounted weapon	TRIGGER NODE						УЗЕЛ СПУСКА	
tooltip_breech_node	a tooltip label for a mechanical node which controls the breech of a mounted weapon	BREECH NODE						УЗЕЛ ЗАТВОРА	
tooltip_brake_node	a tooltip label for a mechanical node which controls the braking of a component	BRAKE NODE						УЗЕЛ ТОРМОЗА	
tooltip_clutch_node	a tooltip label for a mechanical node which controls the clutching of a component	CLUTCH NODE						УЗЕЛ СЦЕПЛЕНИЯ	
tooltip_rotation_node	a tooltip label for a mechanical node which controls the rotation of a component	ROTATION NODE						УЗЕЛ ВРАЩЕНИЯ	
tooltip_activation_node	a tooltip label for a mechanical node which controls the activation of a component	ACTIVATE NODE						УЗЕЛ АКТИВАЦИИ	
tooltip_roll_node	a tooltip label for a mechanical node which controls the roll of a component	ROLL NODE						УЗЕЛ КРЕНА	
tooltip_roll_l_node	a tooltip label for a mechanical node which controls the leftward roll of a component	LEFT ROLL NODE						УЗЕЛ КРЕНА ВЛЕВО	
tooltip_roll_r_node	a tooltip label for a mechanical node which controls the rightward roll of a component	RIGHT ROLL NODE						УЗЕЛ КРЕНА ВПРАВО	
tooltip_pitch_node	a tooltip label for a mechanical node which controls the pitch of a component	PITCH NODE						УЗЕЛ ТАНГАЖА	
tooltip_steering_node	a tooltip label for a mechanical node which controls the steering of a component	STEERING NODE						УЗЕЛ РУЛЕНИЯ	
tooltip_steering_pos_node	a tooltip label for a mechanical node which controls the steering in the positive direction of a component	POSITIVE STEERING NODE						УЗЕЛ РУЛЕНИЯ (+)	
tooltip_steering_neg_node	a tooltip label for a mechanical node which controls the steering in the negative direction of a component	NEGATIVE STEERING NODE						УЗЕЛ РУЛЕНИЯ (-)	
tooltip_pedal_l_node	a tooltip label for a mechanical node which controls the left pedal of a component	LEFT PEDAL NODE						УЗЕЛ ЛЕВОЙ ПЕДАЛИ	
tooltip_pedal_r_node	a tooltip label for a mechanical node which controls the right_pedal of a component	RIGHT PEDAL NODE						УЗЕЛ ПРАВОЙ ПЕДАЛИ	
tooltip_collective_node	a tooltip label for a mechanical node which controls the collective of a component	COLLECTIVE NODE						УЗЕЛ ОБЩЕГО ШАГА	
tooltip_gear_shift_node	a tooltip label for a mechanical node which controls the gear shift of a component	GEAR SHIFT NODE						УЗЕЛ ПЕРЕКЛЮЧЕНИЯ ПЕРЕДАЧ	
tooltip_air_node	a tooltip label for a gas node which controls air flow of a component	AIR NODE						УЗЕЛ ВОЗДУХА	
tooltip_coolant_node	a tooltip label for a liquid node which controls coolant flow of a component	COOLANT NODE						УЗЕЛ ОХЛАЖДЕНИЯ	
tooltip_fuel_node	a tooltip label for a liquid node which controls fuel flow of a component	FUEL NODE						УЗЕЛ ТОПЛИВА	
tooltip_oil_node	a tooltip label for a liquid node which controls oil flow of a component	OIL NODE						УЗЕЛ МАСЛА	
tooltip_exhaust_node	a tooltip label for a gas node which controls the exhaust flow of a component	EXHAUST NODE						УЗЕЛ ВЫХЛОПА	
property_component_alias	a label for the setting which sets a user defined name for the component	COMPONENT NAME						НАЗВАНИЕ КОМПОНЕНТА	
property_count_knob	a label for the setting which sets the number of values a component can output	COUNT	COMPTAGE	ANZAHL	CONTADOR	カウント	CONTAGEM	СЧЕТЧИК	计数
property_reverse	a label for the setting which toggles the component between working in its default manner and working in the opposite direction	REVERSE	MARCHE ARRIÈRE	RÜCKWÄRTS	REVERSA	リバース	REVERSO	ЗАДНИЙ ХОД	反向
property_set_empty	a label for the setting which empties the liquid and gas contents of a component	SET EMPTY	RÉGLER VIDE	LEER EINSTELLEN	AJUSTAR VACÍO	空に設定	DEFINIR VAZIO	УСТАНОВИТЬ ПУСТОЙ	设置空
property_set_air	a label for the setting which fills the contents of a component with air	SET AIR	RÉGLER AIR	LUFT EINSTELLEN	AJUSTAR AIRE	空気を設定	DEFINIR AR	УСТАНОВИТЬ ВОЗДУХ	设置空气
property_set_water	a label for the setting which fills the contents of a component with water	SET WATER	RÉGLER EAU	WASSER EINSTELLEN	AJUSTAR AGUA	水を設定	DEFINIR ÁGUA	УСТАНОВИТЬ ВОДУ	设置水
property_set_petrol	a label for the setting which fills the contents of a component with petrol	SET PETROL						ЗАЛИТЬ БЕНЗИН	
property_set_oil	a label for the setting which fills the contents of a component with engine oil	SET OIL						ЗАЛИТЬ МАСЛО	
property_input_action	a label for the setting which specifies which input action form the player this component should respond to	INPUT	ENTRÉE	EINGABE	ENTRADA	入力	ENTRADA	ВХОД	输入
property_input_positive_action	a label for the setting which specifies which input action form the player this component should respond to in a positive direction	INPUT POSITIVE	ENTRÉE POSITIVE	POSITIV EINSTELLEN	ENTRADA POSITIVA	入力正	ENTRADA POSITIVA	ВХОД ПОЛОЖИТЕЛЬНЫЙ	输入正
